,compound,date,negative,neutral,positive,source,tweet_text
0,0.0,2018-04-02 16:59:22,0.0,1.0,0.0,nytimes,"President Trump suggested Putin visit the White House, officials say https://t.co/WcdFrTkGk1"
1,0.2263,2018-04-02 16:48:04,0.0,0.909,0.091,nytimes,RT @nytpolitics: He's been a Muppet wrangler and the U.S. ambassador to France. Now Charles Rivkin is Hollywood's head cheerleader. https:/…
2,0.0,2018-04-02 16:38:04,0.108,0.784,0.108,nytimes,"As vaping rises at high schools and middle schools, officials are worried e-cigarettes are creating a new generatio… https://t.co/PSMW4B4CV9"
3,-0.0258,2018-04-02 16:28:07,0.217,0.569,0.214,nytimes,"Last fall, we shared readers' 13-word stories of romance, obsession and heartbreak. Here are some more of the thous… https://t.co/oytdtBXYvW"
4,-0.5574,2018-04-02 16:18:05,0.159,0.841,0.0,nytimes,"Steven Bochco, the producer of “Hill Street Blues” and “NYPD Blue,” died on Sunday. His gritty police dramas change… https://t.co/TDhOqQuazn"
5,-0.5994,2018-04-02 16:08:07,0.224,0.776,0.0,nytimes,RT @TimHerrera: Stop wasting money and finally start that budget. Here are some tips to get you going. https://t.co/ufXXY3Hozb
6,0.0,2018-04-02 15:58:05,0.0,1.0,0.0,nytimes,The race to automate stores is underway https://t.co/NYywyTdden
7,0.3612,2018-04-02 15:48:02,0.0,0.878,0.122,nytimes,"A 77-year-old who owns an estimated 75 guns: ""It'll go away. Like all the other times.""
A 17-year-old who protests:… https://t.co/lLYxoinohJ"
8,0.5574,2018-04-02 15:38:01,0.0,0.777,0.223,nytimes,Review: NBC’s “Jesus Christ Superstar” may have finally justified the recent live musical fad on network TV https://t.co/xoRihJn7JS
9,-0.25,2018-04-02 15:28:01,0.199,0.677,0.124,nytimes,"The government of Malaysia is moving to outlaw ""fake news."" Critics say the move is intended to stifle free speech… https://t.co/aNk1o7gmHb"
10,0.431,2018-04-02 15:18:01,0.0,0.89,0.11,nytimes,"RT @NYTScience: When he was 12, his video went viral. That's when he discovered that maybe it's not correcting bad science that audiences o…"
11,-0.1295,2018-04-02 15:08:08,0.148,0.736,0.117,nytimes,California's governor pardoned 5 ex-convicts who were facing possible deportation. President Trump wasn't pleased. https://t.co/ZULUDAIMpN
12,-0.34,2018-04-02 14:58:02,0.091,0.909,0.0,nytimes,RT @nytopinion: People who don’t own guns understand that some need to own one; and gun owners understand the need to keep other people saf…
13,0.0,2018-04-02 14:48:02,0.0,1.0,0.0,nytimes,"The women’s Final Four ended on Sunday for Notre Dame just as the semifinals had on Friday, with Arike Ogunbowale h… https://t.co/CztABtxyNv"
14,0.0,2018-04-02 14:38:02,0.0,1.0,0.0,nytimes,"""I turned and stared down the aisle where a kid who looked about 18 was aiming an AR-15 the salesman had handed him… https://t.co/lF9PGhRwVt"
15,-0.8442,2018-04-02 14:30:32,0.412,0.588,0.0,nytimes,"Winnie Madikizela-Mandela, whose fight against apartheid was later overshadowed by scandal, has died at 81 https://t.co/1CsDdgTHI8"
16,-0.6124,2018-04-02 14:28:01,0.179,0.821,0.0,nytimes,"RT @nytimesworld: Violence has waned in what was the bloodiest day in Gaza since the war of 2014, but both sides have been defending their…"
17,0.1531,2018-04-02 14:18:01,0.142,0.632,0.226,nytimes,The tech industry thinks it has a solution for the problems it created. (It's blockchain.) https://t.co/QeHe17EMUf
18,0.3182,2018-04-02 14:08:03,0.0,0.892,0.108,nytimes,A museum wasn’t sure whose head they had put on display. That’s when the FBI’s forensic scientists were called in. https://t.co/URMhm8SPD9
19,0.7184,2018-04-02 13:58:01,0.0,0.739,0.261,nytimes,"The #MeToo movement has brought down many powerful men. As the fallout continues, it's hitting charities and instit… https://t.co/nEOXLoVy1B"
20,0.0,2018-04-02 17:01:56,0.0,1.0,0.0,FoxNews,"First Lady Melania Trump finishes reading a book called ""You!"" to a group of children during the annual White House… https://t.co/o3fhkMUsCL"
21,-0.8689,2018-04-02 16:44:24,0.43,0.57,0.0,FoxNews,Breaking News: 'Affluenza teen' Ethan Couch released from jail years after drunk driving wreck killed 4 https://t.co/FcL0rkkfhZ
22,-0.8074,2018-04-02 16:28:09,0.422,0.578,0.0,FoxNews,.@alicecooper opens up about mock execution stunt that nearly killed him https://t.co/ZGaL1uasUg
23,-0.3818,2018-04-02 16:17:21,0.214,0.659,0.126,FoxNews,Huge World War II shipwreck raised from the depths in massive salvage operation https://t.co/1KUMk3YfAE
24,-0.2023,2018-04-02 16:15:32,0.101,0.899,0.0,FoxNews,Snow covers the field at Yankee Stadium. The @Yankees’s home opener was postponed due to weather. https://t.co/fyVpU7Xzao
25,0.0,2018-04-02 16:07:37,0.0,1.0,0.0,FoxNews,"Trump blasts 'Justice' Department and FBI for 'slow walking' document production to Congress - via @brookefoxnews 
https://t.co/Bds86O5kzu"
26,-0.3818,2018-04-02 16:02:27,0.157,0.843,0.0,FoxNews,Pregnant woman upset with Disney Cruise Line after family escorted out by armed officer https://t.co/3xuR4VG2i9
27,0.0,2018-04-02 16:00:45,0.0,1.0,0.0,FoxNews,DOW Down Triple Digits https://t.co/TXU9jNglhD
28,0.0,2018-04-02 15:43:25,0.0,1.0,0.0,FoxNews,".@Richardafowler: “When it comes to this dreamer thing, Democrats have been willing to negotiate with the president… https://t.co/Iat1rSohC4"
29,-0.1027,2018-04-02 15:37:21,0.104,0.896,0.0,FoxNews,"Facebook and Google are 'too big,' could be dismantled, French president warns https://t.co/hjIyiHAgTA"
30,0.0,2018-04-02 15:27:47,0.0,1.0,0.0,FoxNews,"Trump suggested White House as potential venue for possible Putin meeting, White House says - via @brookefoxnews 
https://t.co/USN9yJdHbL"
31,0.0,2018-04-02 15:18:39,0.0,1.0,0.0,FoxNews,President @realDonaldTrump raises the arm of the Easter Bunny as they appear together on the South Portico of the W… https://t.co/2YbnDjMmhb
32,0.0,2018-04-02 15:15:31,0.0,1.0,0.0,FoxNews,DOW Down 300+ Points https://t.co/cXasM43dat
33,-0.4588,2018-04-02 15:05:20,0.158,0.842,0.0,FoxNews,"After Confederate statue controversy, cities move to tear down monuments seen as offensive to Native Americans https://t.co/GPQsIz90DB"
34,0.0,2018-04-02 14:57:35,0.0,1.0,0.0,FoxNews,WATCH: @POTUS delivers remarks at the annual @WhiteHouse Easter Egg Roll https://t.co/ozscw0xerv
35,0.0,2018-04-02 14:53:08,0.0,1.0,0.0,FoxNews,".@HuntsmanAbby Catches Up With New Mom and Dad, @EricTrump &amp; @LaraLeaTrump, at @WhiteHouse Easter Egg Roll https://t.co/2TEl6yGgeY"
36,0.0,2018-04-02 14:50:54,0.0,1.0,0.0,FoxNews,.@POTUS: “The funding of our military was so important.” https://t.co/KYcWvRU1c2
37,0.3612,2018-04-02 14:46:54,0.0,0.898,0.102,FoxNews,.@POTUS: “Our country is doing great…We have never had an economy like we have right now and we're going to make it… https://t.co/CPTam53C1g
38,0.0,2018-04-02 14:33:48,0.0,1.0,0.0,FoxNews,.@WhiteHouse holds annual Easter Egg Roll https://t.co/39Br1zxB8s
